epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,17720.2,0.72958,0.71876,1.12183,0.94777,0.9449,0.97116,0.83683,0.61811,0.34024,1.05185,0.002278,0.002278,0.002278
80,17940.2,0.72628,0.72588,1.11986,0.95068,0.95011,0.97265,0.8385,0.6166,0.33474,1.05032,0.002179,0.002179,0.002179
81,18158.3,0.72611,0.71852,1.11872,0.95086,0.94766,0.97376,0.84125,0.61355,0.33206,1.04755,0.00208,0.00208,0.00208
82,18372.4,0.71972,0.70689,1.11556,0.95702,0.9455,0.97469,0.84228,0.61088,0.33005,1.04589,0.001981,0.001981,0.001981
83,18587,0.71025,0.70304,1.11121,0.96069,0.9453,0.97574,0.84402,0.60801,0.32762,1.04315,0.001882,0.001882,0.001882
84,18802.4,0.70689,0.68406,1.10479,0.9575,0.94814,0.976,0.8463,0.60614,0.32636,1.04133,0.001783,0.001783,0.001783
85,19023,0.70681,0.68038,1.10712,0.95817,0.9497,0.97685,0.8473,0.60538,0.32319,1.0401,0.001684,0.001684,0.001684
86,19238,0.69484,0.67397,1.10092,0.96221,0.94626,0.97763,0.84891,0.60395,0.32043,1.03852,0.001585,0.001585,0.001585
87,19455.6,0.69939,0.67559,1.10496,0.96086,0.95047,0.97819,0.8495,0.60277,0.31738,1.03748,0.001486,0.001486,0.001486
88,19675.8,0.69227,0.66384,1.09994,0.96035,0.9511,0.97882,0.84928,0.60073,0.31458,1.03588,0.001387,0.001387,0.001387
89,19895.1,0.69411,0.66808,1.10542,0.96213,0.95264,0.97932,0.84976,0.5989,0.31278,1.03445,0.001288,0.001288,0.001288
90,20113,0.6796,0.64249,1.09458,0.96176,0.95388,0.97961,0.85046,0.59723,0.31124,1.03306,0.001189,0.001189,0.001189
91,20325,0.58435,0.33245,1.09042,0.96415,0.95462,0.97982,0.85013,0.59601,0.30955,1.03191,0.00109,0.00109,0.00109
92,20533.5,0.56389,0.31062,1.07241,0.96312,0.95556,0.98039,0.85179,0.59435,0.30663,1.03035,0.000991,0.000991,0.000991
93,20739,0.55284,0.30144,1.06505,0.96229,0.95591,0.98117,0.85307,0.59265,0.30375,1.02866,0.000892,0.000892,0.000892
94,20945.1,0.54279,0.29378,1.06093,0.96379,0.95694,0.98152,0.85379,0.59052,0.30107,1.02707,0.000793,0.000793,0.000793
95,21153.6,0.53376,0.28865,1.04663,0.95188,0.96989,0.98205,0.85503,0.58823,0.29951,1.02529,0.000694,0.000694,0.000694
96,21361.4,0.52492,0.28102,1.04494,0.95285,0.97028,0.98253,0.85612,0.58625,0.29771,1.02359,0.000595,0.000595,0.000595
97,21565.6,0.52317,0.27642,1.04252,0.954,0.97069,0.98287,0.85642,0.58443,0.2952,1.02211,0.000496,0.000496,0.000496
98,21771,0.51727,0.27152,1.03844,0.958,0.96959,0.98333,0.85783,0.58292,0.29332,1.02068,0.000397,0.000397,0.000397
99,21974.3,0.51177,0.26455,1.03188,0.95563,0.97096,0.98354,0.85866,0.58134,0.29172,1.01929,0.000298,0.000298,0.000298
100,22176.9,0.50953,0.26277,1.03607,0.97181,0.9578,0.98382,0.85948,0.57976,0.29013,1.01793,0.000199,0.000199,0.000199
